main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Temperature ],secondary value [Temperature]
8,48,5,971,18,37
9,498,4,268,2,514
7,646,39,185,4,427
8,563,5,519,44,526
8,958,6,28,5,241
7,576,5,174,2,579
7,957,25,622,17,534
9,6,31,86,28,614
902,559,3,412,12,187
843,142,33,502,501,26
8,467,5,626,4,769
858,865,34,280,15,501
9,287,5,969,9,471
8,2,4,942,28,441
794,820,6,403,2,779
838,348,36,497,46,356
8,237,25,892,16,723
7,630,5,2,15,559
8,622,7,31,11,619
8,791,3,248,15,369
8,610,7,352,5,932
8,887,6,877,5,496
9,441,5,778,5,432
8,636,6,554,5,954
9,39,292,601,12,127
8,805,4,304,5,475
7,969,4,863,5,226
8,598,38,16,25,525
8,491,7,378,9,775
7,610,6,857,6,242
8,110,6,844,5,204
8,324,4,375,3,226
791,691,6,951,41,906
9,393,6,768,1,173
834,90,7,246,4,464
831,324,5,731,3,691
7,688,5,200,500,573
9,1,32,532,4,893
8,53,4,497,29,386
8,129,5,697,4,864
8,247,5,713,13,483
7,993,3,691,5,697
8,436,27,51,6,54
8,130,30,209,48,585
8,681,38,665,20,633
7,564,25,362,323,632
9,222,5,542,7,415
9,124,26,793,49,216
7,971,7,184,5,899
9,35,6,882,4,697
8,350,5,29,10,219
8,385,6,846,10,6
8,579,467,214,3,26
8,223,5,928,22,198
783,755,3,507,2,586
7,966,6,187,41,620
8,974,3,535,13,366
9,41,5,378,29,86
8,228,22,993,5,962
8,853,7,49,45,448
7,559,6,896,5,218
826,588,2,582,5,400
7,852,39,940,636,557
8,16,7,317,5,139
8,884,7,28,46,743
850,487,5,965,1,548
7,529,26,627,33,947
868,856,7,477,50,627
7,654,4,860,789,93
7,889,34,433,1,153
7,598,4,258,3,209
7,569,6,150,510,116
910,289,4,216,5,230
9,429,2,552,31,355
8,511,46,60,11,635
7,674,3,96,4,739
803,154,45,45,24,598
7,786,587,793,1,858
7,699,697,76,47,888
863,880,4,629,10,792
8,887,7,339,45,660
9,98,4,132,23,83
9,2,2,707,2,851
7,622,26,555,5,898
8,41,2,617,23,674
9,485,2,949,4,669
8,105,43,698,34,464
9,485,3,85,1,204
9,10,2,872,5,166
802,855,7,485,2,888
9,369,50,796,45,725
8,195,7,314,19,494
7,678,3,621,3,864
7,774,45,91,2,986
8,472,5,531,3,179
7,942,4,329,20,777
9,354,3,500,3,452
9,171,6,612,15,799
9,271,5,525,23,782
8,725,39,887,4,175
9,478,35,235,4,662
8,477,6,293,19,380
789,295,3,856,40,563
8,218,7,589,4,358
8,808,6,156,45,438
7,921,5,467,5,493
7,638,24,725,2,218
9,175,7,140,3,799
9,0,2,507,1,716
8,343,7,384,45,717
7,687,7,580,541,105
934,180,26,683,24,881
9,335,4,528,5,784
8,302,3,140,29,919
8,446,40,961,4,35
8,458,2,763,30,449
8,777,415,66,3,592
8,992,2,942,13,386
758,86,5,682,43,524
8,141,48,8,14,810
9,333,5,643,17,179
9,150,31,594,4,696
8,709,40,189,230,769
9,146,6,29,3,581
8,564,40,802,25,226
7,634,6,2,4,742
8,23,632,76,5,885
8,12,6,324,602,936
8,451,5,580,19,403
7,874,449,286,49,440
8,694,6,120,1,491
9,485,5,95,12,754
8,715,4,243,6,310
8,503,6,689,3,641
8,182,7,397,18,845
9,211,6,986,5,661
8,410,4,630,34,354
8,44,6,396,506,427
7,960,28,770,39,962
8,682,5,276,1,69
7,511,5,483,5,678
8,10,4,173,11,109
8,3,4,494,5,969
8,927,4,28,5,369
7,555,5,389,4,340
9,203,30,762,3,268
7,562,5,646,5,814
920,584,5,757,386,762
9,115,48,669,6,163
7,893,5,917,9,400
8,774,7,765,4,785
8,94,6,280,43,861
9,245,5,848,17,777
9,338,5,499,12,245
8,779,54,497,6,6
8,578,2,802,3,381
9,176,5,310,29,491
7,960,7,113,4,210
8,365,33,377,26,785
9,296,4,185,3,604
8,968,2,251,44,991
7,630,28,395,166,294
9,451,5,765,3,443
7,781,36,29,33,226
9,55,48,62,38,625
9,66,628,550,2,688
8,756,7,255,12,710
907,973,3,139,10,515
8,617,32,458,4,720
9,293,4,645,11,669
803,525,47,901,21,561
819,167,7,475,24,556
9,252,38,490,24,558
808,909,300,480,15,666
8,741,7,565,3,872
784,386,5,597,4,30
9,269,31,102,15,49
7,790,49,489,3,22
8,908,6,746,4,277
7,552,5,748,22,785
8,837,3,197,2,708
8,934,5,644,3,502
8,196,7,563,5,516
7,609,5,980,5,20
850,192,3,471,18,790
8,90,3,186,1,631
8,38,5,223,40,941
7,676,22,416,26,43
8,811,6,675,30,831
9,430,43,784,17,694
7,984,29,595,5,205
8,907,5,951,37,199
7,942,7,160,1,726
860,824,6,66,17,675
8,759,6,882,2,555
9,100,7,396,20,973
7,879,6,90,3,902
7,896,517,327,11,626
8,184,31,781,17,129
8,617,46,211,5,35
8,931,6,517,3,185
8,14,7,107,26,367
8,984,7,399,9,460
8,764,575,197,5,779
9,394,3,952,23,875
8,832,32,0,23,187
9,332,23,436,1,435
8,670,5,923,3,81
8,149,37,361,7,464
8,628,6,311,41,914
8,365,39,459,6,407
9,494,3,900,2,118
8,487,4,669,34,703
9,455,31,66,20,555
812,111,7,608,16,850
8,379,6,910,23,962
9,18,26,935,12,359
9,409,6,522,3,243
9,479,28,732,34,2
7,575,501,432,1,8
802,706,6,112,4,548
9,337,7,18,2,846
8,252,391,555,23,533
882,705,499,530,4,351
944,566,5,632,2,819
7,865,5,635,9,318
887,60,6,857,5,125
9,318,4,149,10,524
9,337,3,132,32,443
7,525,267,501,14,460
8,724,7,138,6,262
905,232,3,427,15,972
7,937,5,413,22,847
7,989,524,53,5,706
8,672,4,522,513,859
9,487,6,125,5,995
8,267,4,701,9,496
7,869,3,193,5,74
84,806,5,541,6,60
8,769,4,941,36,464
9,264,23,36,5,504
8,820,2,992,24,326
8,524,5,82,48,96
8,32,6,822,36,222
8,857,7,747,38,217
8,291,27,475,330,184
9,361,5,189,44,275
9,209,49,90,12,690
7,649,7,114,1,798
8,675,6,575,31,421
8,638,2,747,11,362
927,543,654,665,635,444
7,733,7,644,3,413
8,966,583,85,6,77
7,857,309,945,45,284
838,848,37,221,26,894
8,288,6,597,4,902
9,308,6,65,5,973
9,58,5,787,5,859
9,198,3,845,2,439
8,14,29,277,40,113
8,550,6,635,4,669
759,431,6,984,5,455
8,74,5,840,5,299
8,485,4,304,39,145
8,508,5,454,6,101
9,463,23,530,21,700
8,996,4,212,23,304
9,212,3,317,12,785
8,345,2,445,4,201
758,437,6,838,6,74
8,292,6,109,4,390
8,618,6,239,14,64
9,361,3,299,6,239
8,928,7,470,23,464
8,131,5,993,1,269
8,681,2,781,383,856
8,26,35,71,16,337
7,763,28,810,31,244
9,478,44,224,5,569
8,32,6,97,6,189
7,949,4,944,322,60
8,734,4,228,3,185
8,698,3,869,3,74
8,9,25,303,35,449
9,357,45,794,4,684
7,870,5,832,2,144
7,761,4,198,6,417
8,176,5,306,19,352
8,603,22,255,3,597
9,362,7,394,7,419
9,277,569,62,13,508
804,150,5,516,31,688
813,826,604,353,3,563
7,906,7,463,22,301
9,210,7,637,4,122
8,369,6,322,5,320
9,259,7,520,5,113
8,966,6,136,46,404
7,657,5,323,517,981
942,677,49,94,3,654
9,123,5,172,5,557
8,522,6,760,25,676
8,847,7,716,5,951
9,360,32,283,5,451
7,867,5,742,15,147
9,143,6,431,44,893
8,595,533,78,6,108
829,615,2,537,18,845
9,328,5,447,56,660
7,530,3,184,2,74
7,919,3,839,5,568
791,590,5,327,2,394
7,913,4,253,1,24
8,886,6,220,5,606
8,347,6,551,3,641
7,585,6,650,46,90
8,601,667,282,4,472
8,131,4,989,4,656
8,496,5,699,46,218
7,885,624,155,31,798
9,355,7,737,5,49
7,903,2,855,1,857
7,730,44,355,5,470
7,888,49,40,5,45
8,19,38,58,6,36
9,319,23,233,14,76
9,292,7,700,39,141
9,363,5,434,14,167
8,699,7,124,17,625
7,847,39,701,2,684
8,116,5,604,4,754
8,211,5,346,26,645
768,800,25,644,5,507
7,554,3,384,3,210
8,885,6,585,5,530
788,895,46,360,5,436
8,44,4,941,4,597
7,666,737,883,21,842
8,101,5,996,4,224
9,283,4,504,5,693
8,754,3,935,6,209
8,654,2,770,11,120
8,591,6,748,31,112
9,44,22,408,20,813
890,960,663,765,5,755
8,542,5,729,12,15
8,274,27,939,6,110
8,139,2,576,4,408
8,528,3,68,2,918
8,678,3,585,3,969
