Voltage_main,Current_main,Temperature_main
9,19,23
9,12,3
9,24,4
8,3,4
8,22,9
9,9,97
9,9,21
850,7,34
9,21,4
8,15,2
7,62,5
8,4,47
9,6,38
8,46,33
9,6,7
9,9,12
8,34,1
8,7,26
8,8,3
7,32,3
9,4,46
9,9,21
9,6,5
8,8,2
8,2,26
8,9,2
8,4,12
9,9,5
9,4,30
9,7,25
9,6,25
9,28,3
9,3,40
9,2,22
8,6,38
8,3,46
8,32,30
9,3,48
9,5,5
7,9,10
9,41,5
8,18,4
755,4,4
9,5,2
8,7,30
7,2,43
8,4,14
9,3,48
9,5,43
7,9,42
8,9,4
9,8,3
8,39,44
9,5,1
8,31,44
9,3,13
9,2,2
8,47,47
7,9,41
9,21,26
9,8,19
8,7,13
9,6,3
8,46,3
8,5,2
8,5,4
778,8,5
8,6,35
9,34,4
9,38,21
9,17,36
7,33,5
9,7,1
9,26,31
7,23,48
8,9,10
9,5,31
9,44,46
8,9,33
8,5,26
9,3,18
9,2,42
9,7,6
8,5,2
9,8,3
8,33,9
9,11,2
9,8,44
8,6,2
9,6,3
8,22,31
9,4,47
8,9,14
9,46,3
7,9,4
9,7,35
7,7,3
8,7,13
8,7,36
9,6,3
8,8,2
7,3,42
8,7,8
8,7,2
9,6,15
8,6,1
9,9,22
9,5,5
9,6,11
9,6,3
7,6,222
8,46,20
9,4,3
9,8,17
8,6,26
847,6,5
8,8,25
9,5,1
756,3,5
8,7,3
9,9,1
8,8,4
9,32,4
9,9,2
8,8,41
7,7,4
8,5,4
8,15,34
9,5,3
7,49,21
8,5,4
8,5,14
9,8,3
807,8,9
9,32,7
9,7,2
765,3,23
8,41,3
7,7,16
9,8,12
8,9,20
9,3,43
8,7,4
9,17,47
8,9,4
849,8,1
7,27,31
9,3,5
8,9,4
9,7,41
7,5,23
9,21,38
8,9,3
8,9,3
9,6,5
8,5,33
8,19,11
8,3,40
9,6,4
8,6,22
9,5,31
9,8,5
8,5,2
8,47,5
7,8,17
7,5,2
9,22,3
9,28,2
8,4,9
8,1,17
795,16,4
9,2,19
8,1,7
9,5,14
8,7,5
8,9,27
8,44,17
8,9,14
9,4,2
9,8,20
9,5,20
9,7,38
9,3,4
8,6,18
9,6,11
8,3,1
9,45,5
8,3,3
8,17,2
8,9,23
7,33,3
9,4,166
9,7,37
9,16,2
9,7,3
7,6,25
7,7,5
9,5,2
8,6,4
8,6,39
7,9,3
8,18,29
9,7,29
8,8,53
9,27,13
7,7,4
827,9,16
8,18,46
9,3,6
8,44,28
8,4,31
9,32,19
9,29,39
792,27,5
8,48,11
8,34,32
7,2,4
9,8,2
8,6,23
8,7,44
8,4,4
9,8,16
7,16,3
9,21,4
8,9,4
8,3,4
8,38,32
9,5,17
7,4,5
828,36,2
9,22,16
8,7,26
8,5,3
8,24,6
7,25,10
8,6,27
8,7,4
9,4,5
9,7,7
9,46,2
780,2,28
9,6,22
8,18,27
8,8,2
7,8,5
9,9,47
9,9,36
7,8,40
8,4,18
9,5,16
9,6,8
9,5,30
8,5,5
7,8,19
7,5,10
9,1,4
9,44,25
9,46,1
7,5,5
9,5,4
9,9,5
8,7,3
8,4,6
8,30,180
9,9,234
9,3,12
7,5,45
9,11,16
8,6,36
8,9,28
8,7,49
8,39,1
8,15,5
9,7,20
789,2,43
9,7,8
9,22,5
9,87,6
9,8,42
8,8,11
8,5,5
8,41,4
7,5,16
7,8,1
7,33,5
9,6,48
7,9,3
9,21,22
9,6,3
7,2,44
7,7,48
8,27,4
7,6,4
8,8,1
7,46,3
8,7,28
9,4,5
8,7,47
8,6,6
7,5,16
9,9,5
8,48,5
8,6,34
7,6,6
8,8,16
9,5,3
7,9,5
9,44,19
8,8,23
8,2,4
8,5,5
9,9,4
7,18,17
8,8,17
9,1,5
7,6,3
8,5,2
8,3,17
9,43,4
8,36,34
9,29,28
9,11,45
9,4,19
8,1,9
81,5,43
7,19,5
834,19,33
8,12,42
9,2,42
7,3,2
7,4,31
8,9,1
8,2,40
9,7,40
9,32,5
9,4,27
8,33,2
7,3,3
7,7,39
8,5,2
8,2,10
9,36,3
9,22,22
8,19,28
7,3,23
9,44,27
80,8,9
8,37,28
782,2,2
9,5,38
7,3,2
9,9,5
8,30,9
7,28,8
7,9,5
8,46,8
9,5,5
9,33,5
9,4,24
7,8,3
9,28,49
9,5,22
8,8,4
9,5,39
9,1,26
8,7,3
8,2,5
9,5,23
9,8,42
7,7,3
8,3,2
8,27,3
8,6,15
8,12,4
8,2,41
7,5,18
9,2,7
7,5,31
8,5,3
8,32,22
8,7,4
8,7,10
9,9,3
8,38,3
8,19,5
91,34,4
9,2,5
9,8,39
9,13,7
7,7,38
8,7,4
9,28,45
7,23,10
8,92,24
9,37,2
7,8,1
8,9,34
7,5,47
9,32,3
9,30,5
9,8,27
8,9,16
9,7,5
9,17,38
8,8,4
9,2,4
8,5,4
9,7,5
760,9,47
9,5,3
8,6,3
8,9,3
9,46,2
8,8,31
835,5,47
7,46,4
7,5,5
9,8,27
7,12,1
8,8,4
8,8,31
8,5,30
9,5,4
8,1,38
9,22,19
9,3,38
9,4,13
7,22,49
8,47,5
7,2,20
767,3,5
8,6,2
8,6,48
8,3,4
8,5,36
8,6,28
9,2,9
9,3,35
7,29,4
8,6,35
8,6,1
9,31,4
7,31,5
9,36,4
9,7,5
7,17,16
8,37,40
7,198,4
9,8,33
9,1,5
7,7,3
9,8,4
8,5,42
8,5,2
9,8,20
9,8,22
9,3,5
7,6,2
9,9,35
8,8,27
9,8,41
7,3,18
8,4,32
9,5,14
9,85,2
88,39,34
8,23,44
9,16,2
9,12,5
8,9,5
8,8,5
9,23,4
823,23,2
8,9,3
9,42,7
7,5,5
7,9,5
9,40,7
8,35,10
8,9,5
7,30,4
8,5,1
8,4,24
7,5,38
8,8,4
9,3,30
8,36,40
7,9,15
9,8,48
9,8,35
7,42,22
8,4,3
7,38,3
9,34,38
8,4,28
7,3,2
8,8,5
7,8,16
9,24,3
9,4,5
7,218,20
8,9,3
7,34,6
8,5,3
9,8,8
8,23,45
8,8,5
9,6,2
9,7,55
9,9,3
8,7,3
7,35,4
9,5,2
9,48,16
8,26,13
9,8,17
7,3,3
9,44,4
78,6,2
7,25,38
7,8,13
8,6,11
7,1,20
7,8,22
8,6,14
96,7,2
9,9,3
8,6,23
9,3,5
8,14,14
8,5,16
8,9,41
800,8,28
9,24,30
8,8,3
8,19,40
9,41,49
9,8,5
8,5,3
7,41,4
7,7,15
805,9,19
8,17,4
9,4,13
9,5,35
9,5,13
9,4,40
8,9,30
8,7,9
8,42,8
8,6,3
8,7,40
9,2,44
7,5,26
8,3,2
8,8,4
8,9,28
8,9,5
8,6,4
7,34,20
79,21,44
9,34,25
8,40,3
9,4,6
9,8,5
7,5,8
791,8,43
7,9,30
9,2,3
9,15,4
9,11,10
7,9,120
9,6,10
8,6,44
7,8,38
8,30,16
8,8,57
8,44,13
9,8,2
9,5,4
8,4,13
8,28,37
8,9,5
9,6,21
9,9,5
7,30,26
8,5,33
8,5,3
8,14,10
9,4,12
9,8,26
7,13,4
8,44,13
9,47,32
8,8,22
8,15,2
7,8,23
7,8,38
781,22,1
8,7,4
8,11,6
9,3,24
812,8,3
9,47,27
9,18,45
7,4,5
9,8,40
9,8,5
9,6,2
9,5,5
8,47,4
7,6,22
9,3,17
8,21,22
7,8,4
9,29,4
9,6,5
9,7,46
8,7,4
8,7,17
8,3,15
7,36,19
8,20,4
8,4,5
8,3,3
8,6,3
8,8,39
7,1,5
8,4,5
9,7,2
9,5,18
8,5,14
7,3,8
8,4,1
8,4,2
7,12,13
9,13,41
8,49,5
8,45,43
7,37,2
9,6,22
8,2,3
7,8,28
8,9,1
9,25,44
8,8,4
7,6,37
9,5,49
79,5,24
8,5,3
9,21,40
8,9,3
8,5,21
8,47,39
7,9,1
9,9,5
7,7,5
8,2,16
8,4,6
7,11,10
7,4,5
8,9,19
7,2,2
9,6,12
7,9,29
89,21,20
8,4,2
7,8,3
9,8,5
9,7,35
8,17,6
8,9,36
7,41,4
9,5,25
9,13,25
8,23,1
9,11,5
9,8,18
813,6,3
8,17,6
8,9,1
9,2,10
9,11,4
7,1,34
8,3,11
9,3,4
7,3,5
7,2,24
810,5,20
812,6,1
7,99,2
7,7,1
8,6,5
8,35,12
7,3,39
9,16,4
8,3,11
9,7,12
7,9,3
8,5,2
9,6,4
7,7,29
8,12,29
9,7,2
7,9,4
9,42,3
8,8,13
7,9,20
8,40,3
7,9,4
8,8,18
8,46,11
7,5,4
9,3,3
9,6,38
7,8,39
9,4,26
8,7,3
9,9,36
8,7,3
8,7,18
7,5,8
7,5,4
9,47,22
7,4,37
9,6,43
8,20,26
7,8,2
7,17,4
7,8,7
8,5,5
8,6,21
7,7,4
8,5,41
9,8,44
8,19,4
8,5,20
8,5,43
9,168,20
8,9,28
8,12,10
9,6,7
8,3,32
7,7,3
9,2,32
8,22,6
9,5,22
9,8,27
7,22,11
9,26,27
9,48,5
8,7,28
9,3,3
9,7,21
7,2,15
9,8,5
7,8,25
8,27,3
8,6,2
8,3,4
9,2,6
8,9,2
9,3,5
8,5,5
9,45,3
9,8,7
7,36,4
825,23,38
7,4,11
8,95,2
8,19,23
8,9,30
9,2,29
8,30,38
7,2,5
8,7,4
794,35,4
8,6,14
98,29,5
8,5,10
9,3,23
7,8,14
7,23,2
8,6,12
8,7,11
9,3,2
8,5,3
8,7,6
810,6,26
7,1,3
9,6,2
9,18,21
9,6,5
8,39,19
769,4,35
8,45,34
9,4,21
9,9,28
8,7,17
9,11,23
8,14,19
838,9,2
9,7,11
9,6,3
8,3,30
842,9,24
8,2,37
9,6,17
7,5,8
7,4,42
9,7,1
836,79,3
7,32,2
7,45,19
9,6,48
9,6,24
7,9,1
9,15,5
8,8,19
827,7,57
9,8,1
7,7,15
9,6,48
8,2,24
9,15,5
8,48,23
8,11,29
8,38,4
9,39,1
9,8,3
8,6,5
9,9,23
7,7,7
9,3,2
766,2,3
9,5,2
9,5,10
9,3,24
760,46,46
7,27,2
8,6,3
8,40,39
9,5,19
8,5,18
9,4,6
9,7,4
8,8,5
9,9,41
8,9,14
7,8,59
7,9,4
8,4,7
9,5,21
7,6,1
8,5,13
9,4,9
8,4,3
8,6,44
8,47,2
9,6,5
8,9,37
9,7,19
9,7,34
7,12,14
8,7,3
8,68,37
9,5,20
7,6,3
8,32,30
