Voltage_secondary,Current_secondary,Temperature_secondary
48,971,37
498,268,514
646,185,427
563,519,526
958,28,241
576,174,579
957,622,534
6,86,614
467,626,769
287,969,471
2,942,441
820,403,779
348,497,356
237,892,723
630,2,559
622,31,619
791,248,369
610,352,932
887,877,496
441,778,432
636,554,954
805,304,475
969,863,226
598,16,525
491,378,775
610,857,242
110,844,204
324,375,226
691,951,906
393,768,173
90,246,464
324,731,691
1,532,893
53,497,386
129,697,864
247,713,483
993,691,697
436,51,54
130,209,585
681,665,633
222,542,415
124,793,216
971,184,899
35,882,697
350,29,219
385,846,6
223,928,198
755,507,586
966,187,620
974,535,366
41,378,86
228,993,962
853,49,448
559,896,218
588,582,400
16,317,139
884,28,743
487,965,548
529,627,947
889,433,153
598,258,209
429,552,355
511,60,635
674,96,739
154,45,598
887,339,660
98,132,83
2,707,851
622,555,898
41,617,674
485,949,669
105,698,464
485,85,204
10,872,166
855,485,888
369,796,725
195,314,494
678,621,864
774,91,986
472,531,179
942,329,777
354,500,452
171,612,799
271,525,782
725,887,175
478,235,662
477,293,380
295,856,563
218,589,358
808,156,438
921,467,493
638,725,218
175,140,799
0,507,716
343,384,717
335,528,784
302,140,919
446,961,35
458,763,449
992,942,386
86,682,524
141,8,810
333,643,179
150,594,696
709,189,769
146,29,581
564,802,226
634,2,742
451,580,403
694,120,491
485,95,754
715,243,310
503,689,641
182,397,845
211,986,661
410,630,354
960,770,962
682,276,69
511,483,678
10,173,109
3,494,969
927,28,369
555,389,340
203,762,268
562,646,814
115,669,163
893,917,400
774,765,785
94,280,861
245,848,777
338,499,245
779,497,6
578,802,381
176,310,491
960,113,210
365,377,785
296,185,604
968,251,991
630,395,294
451,765,443
781,29,226
55,62,625
756,255,710
617,458,720
293,645,669
525,901,561
167,475,556
252,490,558
741,565,872
386,597,30
269,102,49
790,489,22
908,746,277
552,748,785
837,197,708
934,644,502
196,563,516
609,980,20
192,471,790
90,186,631
38,223,941
676,416,43
811,675,831
430,784,694
984,595,205
907,951,199
942,160,726
759,882,555
100,396,973
879,90,902
184,781,129
617,211,35
931,517,185
14,107,367
984,399,460
394,952,875
832,0,187
332,436,435
670,923,81
149,361,464
628,311,914
365,459,407
494,900,118
487,669,703
455,66,555
111,608,850
379,910,962
18,935,359
409,522,243
479,732,2
706,112,548
337,18,846
865,635,318
318,149,524
337,132,443
724,138,262
937,413,847
487,125,995
267,701,496
869,193,74
806,541,60
769,941,464
264,36,504
820,992,326
524,82,96
32,822,222
857,747,217
361,189,275
209,90,690
649,114,798
675,575,421
638,747,362
733,644,413
848,221,894
288,597,902
308,65,973
58,787,859
198,845,439
14,277,113
550,635,669
431,984,455
74,840,299
485,304,145
508,454,101
463,530,700
996,212,304
212,317,785
345,445,201
437,838,74
292,109,390
618,239,64
361,299,239
928,470,464
131,993,269
26,71,337
763,810,244
478,224,569
32,97,189
734,228,185
698,869,74
9,303,449
357,794,684
870,832,144
761,198,417
176,306,352
603,255,597
362,394,419
150,516,688
906,463,301
210,637,122
369,322,320
259,520,113
966,136,404
123,172,557
522,760,676
847,716,951
360,283,451
867,742,147
143,431,893
615,537,845
328,447,660
530,184,74
919,839,568
590,327,394
913,253,24
886,220,606
347,551,641
585,650,90
131,989,656
496,699,218
355,737,49
903,855,857
730,355,470
888,40,45
19,58,36
319,233,76
292,700,141
363,434,167
699,124,625
847,701,684
116,604,754
211,346,645
800,644,507
554,384,210
885,585,530
895,360,436
44,941,597
101,996,224
283,504,693
754,935,209
654,770,120
591,748,112
44,408,813
542,729,15
274,939,110
139,576,408
528,68,918
678,585,969
55,18,569
629,740,590
885,16,513
33,716,278
342,259,621
981,670,168
611,51,474
506,673,201
586,97,823
627,972,426
277,50,132
633,257,419
325,688,287
704,605,268
396,463,902
311,781,560
201,727,46
333,142,271
336,522,19
341,630,479
741,661,944
950,723,354
334,335,571
628,106,119
924,247,759
670,922,181
636,110,483
93,77,887
922,440,415
552,591,967
498,742,403
655,169,800
385,728,342
168,443,225
657,802,267
52,449,125
924,869,168
23,599,101
846,610,933
887,185,170
777,611,175
336,894,189
887,268,652
481,586,609
467,52,774
964,380,172
752,602,739
521,978,353
216,405,969
113,494,85
987,720,793
221,953,23
723,606,611
52,0,510
306,666,434
614,149,469
994,648,292
284,588,265
640,267,57
795,801,506
180,627,945
