TS,Voltage_main,Current_main,Temperature_main
0:53:06,5,24,10
0:53:07,5,4,5
0:53:08,6,7,33
0:53:09,550,1,286
0:53:10,5,2,3
0:53:11,5,31,17
0:53:12,6,17,2
0:53:13,6,21,5
0:53:14,5,16,348
0:53:15,6,1,47
0:53:16,6,23,36
0:53:17,6,13,32
0:53:18,6,11,23
0:53:19,6,457,39
0:53:20,5,16,2
0:53:21,6,2,11
0:53:22,5,9,4
0:53:23,629,281,2
0:53:24,6,15,5
0:53:25,5,14,5
0:53:26,570,41,5
0:53:27,6,24,18
0:53:28,5,8,2
0:53:29,6,2,5
0:53:30,5,3,5
0:53:31,6,23,19
0:53:32,672,13,12
0:53:33,6,7,5
0:53:34,5,7,19
0:53:35,545,24,5
0:53:36,6,30,17
0:53:37,6,7,2
0:53:38,5,18,20
0:53:39,67,7,5
0:53:40,558,31,24
0:53:41,5,7,28
0:53:42,5,22,10
0:53:43,5,21,10
0:53:44,6,55,2
0:53:45,640,2,720
0:53:46,5,51,6
0:53:47,514,14,1
0:53:48,5,2,433
0:53:49,5,34,5
0:53:50,6,2,43
0:53:51,5,18,44
0:53:52,6,26,3
0:53:53,5,21,4
0:53:54,6,30,2
0:53:55,6,1,4
0:53:56,617,22,3
0:53:57,6,12,45
0:53:58,6,2,4
0:53:59,6,17,5
0:54:00,5,9,46
0:54:01,6,3,3
0:54:02,5,3,9
0:54:03,6,15,3
0:54:04,5,11,3
0:54:05,5,15,3
0:54:06,5,22,300
0:54:07,6,12,5
0:54:08,6,13,4
0:54:09,5,2,53
0:54:10,6,27,44
0:54:11,6,20,22
0:54:12,5,17,1
0:54:13,5,17,34
0:54:14,5,3,44
0:54:15,5,11,20
0:54:16,6,1,4
0:54:17,6,12,36
0:54:18,5,19,7
0:54:19,686,6,35
0:54:20,6,11,12
0:54:21,5,1,29
0:54:22,5,30,5
0:54:23,5,980,36
0:54:24,6,3,46
0:54:25,5,19,14
0:54:26,5,4,2
0:54:27,5,19,1
0:54:28,5,10,5
0:54:29,6,1,14
0:54:30,6,30,55
0:54:31,588,3,4
0:54:32,6,2,7
0:54:33,5,15,14
0:54:34,5,30,42
0:54:35,5,2,3
0:54:36,5,16,3
0:54:37,6,12,4
0:54:38,5,13,45
0:54:39,598,2,38
0:54:40,5,177,25
0:54:41,6,2,7
0:54:42,6,7,19
0:54:43,5,2,4
0:54:44,5,33,3
0:54:45,5,15,4
0:54:46,5,23,21
0:54:47,6,44,26
0:54:48,6,22,12
0:54:49,6,8,5
0:54:50,636,23,4
0:54:51,5,27,43
0:54:52,6,6,39
0:54:53,5,19,4
0:54:54,5,18,5
0:54:55,6,1,452
0:54:56,5,25,5
0:54:57,6,6,15
0:54:58,6,20,2
0:54:59,5,18,26
0:55:00,5,7,41
0:55:01,5,9,4
0:55:02,6,3,548
0:55:03,5,11,7
0:55:04,6,3,30
0:55:05,6,15,8
0:55:06,5,11,19
0:55:07,6,2,4
0:55:08,6,11,4
0:55:09,6,1,39
0:55:10,5,2,23
0:55:11,5,25,10
0:55:12,5,1,49
0:55:13,6,9,33
0:55:14,6,10,19
0:55:15,5,9,1
0:55:16,6,3,34
0:55:17,5,18,17
0:55:18,6,14,1
0:55:19,6,276,8
0:55:20,6,9,4
0:55:21,534,2,15
0:55:22,6,21,23
0:55:23,18,45,7
0:55:24,8,434,8
0:55:25,2,4,5
0:55:26,12,27,8
0:55:27,29,3,9
0:55:28,6,12,9
0:55:29,40,3,6
0:55:30,5,4,7
0:55:31,425,4,6
0:55:32,5,41,6
0:55:33,46,4,45
0:55:34,3,17,9
0:55:35,9,11,8
0:55:36,5,2,8
0:55:37,4,534,49
0:55:38,2,13,5
0:55:39,5,1,8
0:55:40,39,3,9
0:55:41,12,29,8
0:55:42,33,5,9
0:55:43,7,1,5
0:55:44,256,13,434
0:55:45,6,24,617
0:55:46,6,3,9
0:55:47,3,12,956
0:55:48,16,31,5
0:55:49,40,39,9
0:55:50,6,14,8
0:55:51,6,19,827
0:55:52,46,2,5
0:55:53,3,3,9
0:55:54,7,36,5
0:55:55,7,4,9
0:55:56,6,2,8
0:55:57,5,17,9
0:55:58,23,5,7
0:55:59,3,2,6
0:56:00,3,3,7
0:56:01,7,285,5
0:56:02,7,538,9
0:56:03,31,38,4
0:56:04,25,5,9
0:56:05,12,23,6
0:56:06,35,21,5
0:56:07,7,4,9
0:56:08,404,13,6
0:56:09,41,3,8
0:56:10,5,2,4
0:56:11,4,5,8
0:56:12,28,5,8
0:56:13,2,15,771
0:56:14,4,40,7
0:56:15,32,14,5
0:56:16,3,462,925
0:56:17,7,3,827
0:56:18,543,31,9
0:56:19,3,358,5
0:56:20,48,2,49
0:56:21,16,2,6
0:56:22,7,2,6
0:56:23,6,15,9
0:56:24,5,19,7
0:56:25,24,47,5
0:56:26,25,13,580
0:56:27,49,4,7
0:56:28,492,443,6
0:56:29,47,4,450
0:56:30,4,25,9
0:56:31,15,34,6
0:56:32,2,27,6
0:56:33,2,14,5
0:56:34,6,38,8
0:56:35,5,40,6
0:56:36,10,5,9
0:56:37,6,2,7
0:56:38,28,2,4
0:56:39,4,4,9
0:56:40,4,5,9
0:56:41,1,3,46
0:56:42,24,12,9
0:56:43,728,42,5
0:56:44,23,28,8
0:56:45,7,5,5
0:56:46,15,37,6
0:56:47,46,4,89
0:56:48,38,5,5
0:56:49,5,3,7
0:56:50,5,5,7
0:56:51,6,28,8
0:56:52,7,42,7
0:56:53,14,17,9
0:56:54,32,21,5
0:56:55,41,33,8
0:56:56,29,11,509
0:56:57,3,525,5
0:56:58,5,19,6
0:56:59,37,17,9
0:57:00,736,23,7
0:57:01,33,49,6
0:57:02,785,2,43
0:57:03,5,43,9
0:57:04,1,2,572
0:57:05,7,2,5
0:57:06,5,1,953
0:57:07,4,25,5
0:57:08,7,17,9
0:57:09,29,446,8
0:57:10,4,5,6
0:57:11,4,3,7
0:57:12,8,5,4
0:57:13,731,1,8
0:57:14,43,1,7
0:57:15,42,1,5
0:57:16,5,4,8
0:57:17,44,36,8
0:57:18,7,5,47
0:57:19,5,5,5
0:57:20,8,35,742
0:57:21,3,25,6
0:57:22,6,1,8
0:57:23,6,33,960
0:57:24,6,46,5
0:57:25,17,2,9
0:57:26,3,4,9
0:57:27,3,43,7
0:57:28,8,5,877
0:57:29,18,2,5
0:57:30,458,2,5
0:57:31,11,2,8
0:57:32,11,5,8
0:57:33,55,31,5
0:57:34,5,4,7
0:57:35,5,2,8
0:57:36,5,5,5
0:57:37,6,5,923
0:57:38,564,4,6
0:57:39,45,4,857
0:57:40,32,28,4
0:57:41,22,1,918
0:57:42,18,27,7
0:57:43,7,4,8
0:57:44,7,1,9
0:57:45,7,47,9
0:57:46,375,3,9
0:57:47,555,30,7
0:57:48,5,2,5
0:57:49,5,3,4
0:57:50,5,21,6
0:57:51,36,3,9
0:57:52,2,11,5
0:57:53,12,26,8
0:57:54,7,4,5
0:57:55,10,3,5
0:57:56,5,4,8
0:57:57,6,40,6
0:57:58,2,37,7
0:57:59,10,5,5
0:58:00,19,4,6
0:58:01,36,23,7
0:58:02,6,2,5
0:58:03,37,5,7
0:58:04,6,24,5
0:58:05,20,1,9
0:58:06,5,22,8
0:58:07,3,4,933
0:58:08,5,4,5
0:58:09,5,20,7
0:58:10,6,43,8
0:58:11,32,2,8
0:58:12,4,18,45
0:58:13,6,354,6
0:58:14,6,4,5
0:58:15,1,2,5
0:58:16,337,471,9
0:58:17,5,2,6
0:58:18,9,4,6
0:58:19,2,3,4
0:58:20,9,434,5
0:58:21,4,36,5
0:58:22,182,2,44
0:58:23,14,49,6
0:58:24,3,14,8
0:58:25,6,5,5
0:58:26,5,4,8
0:58:27,21,44,7
0:58:28,6,2,9
