TS,Voltage_main,Current_main,Temperature_main
13:00:00,9,19,23
13:00:01,9,12,3
13:00:02,9,24,4
13:00:03,8,3,4
13:00:04,8,22,9
13:00:05,9,9,97
13:00:06,9,9,21
13:00:07,850,7,34
13:00:08,9,21,4
13:00:09,8,15,2
13:00:10,7,62,5
13:00:11,8,4,47
13:00:12,9,6,38
13:00:13,8,46,33
13:00:14,9,6,7
13:00:15,9,9,12
13:00:16,8,34,1
13:00:17,8,7,26
13:00:18,8,8,3
13:00:19,7,32,3
13:00:20,9,4,46
13:00:21,9,9,21
13:00:22,9,6,5
13:00:23,8,8,2
13:00:24,8,2,26
13:00:25,8,9,2
13:00:26,8,4,12
13:00:27,9,9,5
13:00:28,9,4,30
13:00:29,9,7,25
13:00:30,9,6,25
13:00:31,9,28,3
13:00:32,9,3,40
13:00:33,9,2,22
13:00:34,8,6,38
13:00:35,8,3,46
13:00:36,8,32,30
13:00:37,9,3,48
13:00:38,9,5,5
13:00:39,7,9,10
13:00:40,9,41,5
13:00:41,8,18,4
13:00:42,755,4,4
13:00:43,9,5,2
13:00:44,8,7,30
13:00:45,7,2,43
13:00:46,8,4,14
13:00:47,9,3,48
13:00:48,9,5,43
13:00:49,7,9,42
13:00:50,8,9,4
13:00:51,9,8,3
13:00:52,8,39,44
13:00:53,9,5,1
13:00:54,8,31,44
13:00:55,9,3,13
13:00:56,9,2,2
13:00:57,8,47,47
13:00:58,7,9,41
13:00:59,9,21,26
13:01:00,9,8,19
13:01:01,8,7,13
13:01:02,9,6,3
13:01:03,8,46,3
13:01:04,8,5,2
13:01:05,8,5,4
13:01:06,778,8,5
13:01:07,8,6,35
13:01:08,9,34,4
13:01:09,9,38,21
13:01:10,9,17,36
13:01:11,7,33,5
13:01:12,9,7,1
13:01:13,9,26,31
13:01:14,7,23,48
13:01:15,8,9,10
13:01:16,9,5,31
13:01:17,9,44,46
13:01:18,8,9,33
13:01:19,8,5,26
13:01:20,9,3,18
13:01:21,9,2,42
13:01:22,9,7,6
13:01:23,8,5,2
13:01:24,9,8,3
13:01:25,8,33,9
13:01:26,9,11,2
13:01:27,9,8,44
13:01:28,8,6,2
13:01:29,9,6,3
13:01:30,8,22,31
13:01:31,9,4,47
13:01:32,8,9,14
13:01:33,9,46,3
13:01:34,7,9,4
13:01:35,9,7,35
13:01:36,7,7,3
13:01:37,8,7,13
13:01:38,8,7,36
13:01:39,9,6,3
13:01:40,8,8,2
13:01:41,7,3,42
13:01:42,8,7,8
13:01:43,8,7,2
13:01:44,9,6,15
13:01:45,8,6,1
13:01:46,9,9,22
13:01:47,9,5,5
13:01:48,9,6,11
13:01:49,9,6,3
13:01:50,7,6,222
13:01:51,8,46,20
13:01:52,9,4,3
13:01:53,9,8,17
13:01:54,8,6,26
13:01:55,847,6,5
13:01:56,8,8,25
13:01:57,9,5,1
13:01:58,756,3,5
13:01:59,8,7,3
13:02:00,9,9,1
13:02:01,8,8,4
13:02:02,9,32,4
13:02:03,9,9,2
