,Singular Vector 1,Singular Vector 2,Singular Vector 3,Singular Vector 4,Singular Vector 5,Singular Vector 6,Singular Vector 7,Singular Vector 8,Singular Vector 9,Singular Vector 10,Singular Vector 11,Singular Vector 12,Singular Vector 13,Singular Vector 14
main value [Voltage (V)],0.417449537460714,-0.10624921691178774,-0.17537092801304818,-0.2115965415788635,-0.32333381576885906,0.36304611820738086,0.25020126460751957,-0.09972269900321372,0.11999098931274728,0.019313088361219463,0.21755421722056617,-0.3554788124329615,0.3421434330624582,-0.3528433274147634
secondary value [Voltage (V)],-0.5204287722584566,0.012857902177962344,0.0743576620617745,0.15404940959619196,0.19002151568005055,-0.14095693875329357,0.20286335901052252,0.24118358269636175,0.0805871108725925,-0.3199029940068265,-0.033884245511557956,-0.3382062064104145,0.5509784439449164,-0.12840230918439494
main value [Current (A)],0.1956232296346408,-0.0957805262344206,0.27102008705828146,0.49566798070448775,-0.042883736169765325,0.18499314815357845,-0.2695888627519179,-0.26992395064424757,-0.37457524497832145,-0.4530040634503227,-0.15888208436116405,-0.04605123032104389,-0.02019412081438961,-0.28023044745412146
secondary value [Current (A)],-0.04356196439575377,0.48691225313665515,0.09476693096869951,0.12384814850278716,-0.3882502179255224,-0.3801374380832431,0.11556678881168664,-0.24429573481445882,0.13533509214185274,0.23895185318164,-0.2941364361226152,0.1883589412458358,0.12577843743783765,-0.39394385539519805
main value [Motor Speed (RPM)],0.08914087543113786,0.1844173028385629,-0.2676708597854912,0.39000384820065326,-0.36158341437837577,0.3173987770744911,-0.04166768518266193,0.4995590658105225,-0.017104800389115233,0.07953769242657974,-0.34493477762232305,-0.0064684749391142465,0.11153303782647461,0.33679843714977237
secondary value [Motor Speed (RPM)],-0.014939469778060918,0.1778231253656696,0.3361658538653237,-0.4266359816095686,0.13354003616800214,0.477891955998994,0.11573026904101642,-0.05764002845827434,0.13980985666991858,-0.23799227873918122,-0.38325880973522874,0.38308430807179517,0.18545125277115365,0.07733230276714097
main value [Temperature],0.0033188752734296095,0.20752480435045842,-0.5693425231528116,0.19869197411735767,0.345347834466384,0.14714175367039703,0.17044231018287287,0.04347848283016487,0.24434950957916327,-0.28314758608430185,0.07161491282809733,0.2790618397793992,-0.2535080302732578,-0.3664512020360165
secondary value [Temperature],0.3852498939231772,0.27724198996267735,-0.18491867118243233,-0.07150242845069146,0.06592412820278268,-0.3256083662214418,-0.38312351840990544,-0.15131136592846076,0.20546293219592443,-0.3577192129380018,0.1392391360080955,0.03409123217453522,0.3769501438189388,0.3500673014047008
main value [Vibration (g)],-0.16927249040698636,-0.29729077030301054,0.2522344697288814,0.16298767336383335,-0.38310651399076906,0.06087420469001087,-0.22609796826471132,0.10894051776824537,0.6455425465163446,-0.1635920144850399,0.2701258433329889,0.22476156318356613,-0.09681772516623224,-0.054463611510124146
secondary value [Vibration (g)],0.088260305850422,-0.3469629886556022,-0.1489008886440948,-0.10022504315622735,-0.29734607251138334,-0.33690306488910104,0.4957770480467991,-0.09226029532389708,-0.009089011948652196,-0.44581682586352334,-0.3106692983958341,0.014556449078397829,-0.2037504313226413,0.2151935634862337
main value [Ambient Temp],-0.3189268006447484,0.40925165002371455,0.009382107109113845,0.11974887473658477,-0.16886938850246738,0.2781214384855051,0.1877849732993411,-0.4706164042429115,0.04966805476631811,-0.11245319002446177,0.2602288249725853,-0.2865776155002194,-0.22513717568875152,0.3716374715370107
secondary value [Ambient Temp ],-0.27516423325509287,-0.11687259850976164,-0.33218420537568144,-0.2836826567253393,-0.05965192362545603,0.06768638375197114,-0.503986749580078,-0.1891444068517861,0.17605860601821421,-0.011000674310579463,-0.46842855310187126,-0.363855054810523,-0.14282158014463983,-0.1362120915263889
main value [Humidity (%),0.35911576209436447,0.24676912958279446,0.3762799812535253,0.02743924168179579,0.22901402504730461,-0.09650003741271683,0.08553330703389411,0.2715970484576105,0.34771191881808644,-0.050205437041069,-0.16820581266123755,-0.48016256669364377,-0.3749069675611998,-0.04617424609687957
secondary value [Humidity (%),0.12364892728827664,-0.325456014889632,-0.02162465989575029,0.39947417449404204,0.33893253372143367,0.06597673387212757,0.16047144717578732,-0.41264877886312934,0.35714099843940156,0.3508189550449932,-0.2538853709417799,-0.003930259404621935,0.21775030087828912,0.20241476534866476
