,Singular_Value,Variance_Explained,Cumulative_Variance
Component_1,67.52747455882135,8.008640662285767,8.008640662285767
Component_2,66.06083536795414,7.664536811113748,15.673177473399516
Component_3,65.66016109116097,7.571844382516446,23.24502185591596
Component_4,65.01118513638605,7.422905955315372,30.667927811231333
Component_5,64.70580817329572,7.353334524147928,38.02126233537926
Component_6,64.52135991929364,7.31147192706986,45.33273426244912
Component_7,64.20588777457792,7.24014897769802,52.57288324014714
Component_8,63.62992465015426,7.11083513819297,59.68371837834011
Component_9,62.921396316058335,6.9533564831263535,66.63707486146646
Component_10,62.58579715016307,6.879381089819389,73.51645595128585
Component_11,62.185997876902064,6.791770578429294,80.30822652971514
Component_12,61.72134624058095,6.690654012697459,86.9988805424126
Component_13,61.31246412787295,6.602301200308601,93.60118174272121
Component_14,60.360244692424814,6.398818257278798,100.0
