,Singular Vector 1,Singular Vector 2,Singular Vector 3,Singular Vector 4,Singular Vector 5,Singular Vector 6,Singular Vector 7,Singular Vector 8,Singular Vector 9,Singular Vector 10,Singular Vector 11,Singular Vector 12,Singular Vector 13,Singular Vector 14
main value [Voltage (V)],0.22354848038301195,-0.18545981888678195,-0.08372837352012136,-0.30717991098409136,-0.2054855875272723,-0.0943737136770127,-0.6173892648525875,-0.019446131119236466,-0.4690632432178019,-0.2035663038238808,0.175229575984819,0.030289597998926984,-0.20078775261725665,0.2195091376883891
secondary value [Voltage (V)],-0.5241796161906107,0.16410981071863828,-0.17396113037308666,-0.12424613054296912,0.0868109222824657,-0.15579767642360368,0.09152834444870847,-0.492360406369308,-0.1625915692262029,0.06094886213007679,-0.24340090850574728,-0.02095799890312551,-0.04268925734382051,0.5275817183204634
main value [Current (A)],-0.38330871614933776,0.18376460372572725,-0.45976773105390817,-0.14411638033720972,-0.17941919496786382,0.02143884888115657,-0.14061195252854278,0.1628336063159508,0.24179774793139858,-0.39499988138101044,-0.13748757612093018,-0.14521972485317725,-0.32301132646113584,-0.38651358106225703
secondary value [Current (A)],-0.17477339899501676,-0.2614992252769615,0.35153739879964385,0.4539658920845369,-0.35207399757908076,-0.14578758370431763,-0.07329169698019923,0.042368469138027484,0.29114563559024653,0.005285510182365935,0.06099261586367445,-0.10472632499706958,-0.49631878368527355,0.27058862832369873
main value [Motor Speed (RPM)],-0.3156951926440541,-0.006398568609590136,0.17444048006989965,-0.3396327361057574,-0.11941514460973411,-0.4917522127522474,-0.14714127298615032,0.11768196549505008,0.12472214587990234,0.3694179406125175,0.3235261913454036,-0.315392913828893,0.2795100812329926,-0.1692421691001568
secondary value [Motor Speed (RPM)],-0.08032652707848084,-0.4337362268833781,-0.09993224033310916,-0.14172442008813183,0.2134517409412901,-0.23775400630924115,0.007311858046530726,0.5801824415130147,0.09173073571440588,-0.039878022483916795,-0.45746301585875526,0.1801814029343166,0.12568508677691764,0.26278366437449974
main value [Temperature],0.21503021436286784,0.13791595544456953,0.3520018885938589,-0.4181556668329061,-0.09267221054773694,-0.07309273600240788,0.1523520222249835,-0.13425211978413057,0.4177117950398434,-0.5695238971986651,0.012307162011301569,-0.030782483062367916,0.15030869168447747,0.24142059640415406
secondary value [Temperature],0.32930225462624135,0.008785632351898817,-0.49078473990397564,0.022926562200568587,0.2634762355362083,0.05624998129467901,-0.16558161122561288,-0.02930717960691208,0.4752029803134743,0.21998942944091557,0.2211811254457303,-0.31775367092166656,-0.06368120751260538,0.34795197707771497
main value [Vibration (g)],0.10024598109785748,0.2505966485276361,-0.2714424315305013,0.3991078351234337,-0.35799055909741734,-0.26831572063621495,0.2113144134954399,0.2622322540306686,-0.25745342901843177,-0.25593880610169134,0.09844884437954537,-0.2347645752926797,0.3624133835692674,0.22951453251536563
secondary value [Vibration (g)],-0.40570956170060923,-0.13652435350571954,0.052483678847900346,0.26867120483125867,0.13378557615126108,0.36064800899859273,-0.42880388680249054,-0.01892998133720355,0.14658160300880024,-0.2547187707279831,0.23684409834292516,0.12109647738667649,0.49439398819550273,0.08984819119791207
main value [Ambient Temp],0.07643948953631743,0.33923966944324274,0.2014597865670732,-0.06461102257222867,-0.3193011609052683,0.36787505626575134,-0.32479064124701756,0.1493406648215324,0.04876095346065537,0.29208315337539226,-0.5271163918441535,-0.26296679109603277,0.1437473558519114,0.11781007143854205
secondary value [Ambient Temp ],-0.006004615442973815,-0.6123310064284996,-0.056545280509277554,-0.08631856331157699,-0.1123690634676156,0.2549270523817987,0.22978797225057382,-0.22325724613349446,-0.13587339519981628,-0.10554762329896376,-0.12643680101924135,-0.600031153729273,0.1276077618154887,-0.11043654357315807
main value [Humidity (%),-0.06734660367857528,0.2350461525264691,0.3199254624009012,0.102192358983374,0.6158720977610928,-0.031142513580788237,-0.07762597378494018,0.2266431256713119,-0.2507798539667202,-0.22130424803687984,0.009719736545794212,-0.48192922674573796,-0.21243403093282692,0.020405649516102797
secondary value [Humidity (%),0.22788725115429315,-0.05038064092013228,7.104851187221539e-05,0.31463122258527054,0.12778263831188097,-0.4846681340086382,-0.3466026807518359,-0.4085490387133679,0.12059181553379733,-0.11029822788712346,-0.40582479772083085,-0.03886496226799606,0.1696422449387234,-0.2942247683986082
