Column,Mean,Median,Std,Variance,Q1,Q2,Q3,Q4,Min,Max,Count,Most_Common_Values
main value [Voltage (V)],45.49543676662321,7.0,132.11987151382883,17455.660448830637,5.0,7.0,24.0,922.0,0,922,1534,"{6: 204, 5: 195, 3: 124, 7: 108, 4: 91, 2: 80, 1: 60, 11: 27, 8: 26, 12: 23}"
secondary value [Voltage (V)],477.77900912646675,460.5,291.1242822904591,84753.34773913494,220.25,460.5,725.75,999.0,0,999,1534,"{995: 7, 197: 6, 734: 6, 319: 6, 651: 5, 70: 5, 322: 5, 393: 5, 692: 5, 479: 5}"
main value [Current (A)],35.033246414602345,13.0,88.20947502195163,7780.911483648309,4.0,13.0,30.0,555.0,1,555,1534,"{4: 189, 3: 175, 5: 143, 2: 128, 1: 75, 15: 36, 12: 33, 16: 32, 14: 29, 17: 27}"
secondary value [Current (A)],500.61473272490224,512.5,280.5938457393952,78732.9062668235,261.25,512.5,736.75,998.0,1,998,1534,"{550: 7, 451: 7, 839: 6, 395: 6, 91: 6, 375: 5, 619: 5, 518: 5, 92: 5, 894: 5}"
main value [Motor Speed (RPM)],61.34876140808344,7.0,178.71975024496706,31940.749127623407,5.0,7.0,21.0,994.0,1,994,1534,"{7: 204, 5: 195, 6: 166, 8: 116, 3: 97, 4: 89, 2: 58, 1: 37, 9: 21, 12: 21}"
secondary value [Motor Speed (RPM)],486.20273794002605,464.5,289.9301262611899,84059.47811382952,245.0,464.5,741.75,999.0,0,999,1534,"{318: 7, 721: 6, 355: 6, 993: 6, 245: 6, 952: 5, 429: 5, 972: 5, 871: 5, 317: 5}"
main value [Temperature],9.528683181225555,7.0,10.804985378429096,116.74770902806658,6.0,7.0,8.0,92.0,4,92,1534,"{8: 275, 7: 273, 6: 268, 9: 266, 5: 248, 4: 104, 45: 20, 43: 17, 46: 16, 49: 11}"
secondary value [Temperature],504.4224250325945,496.5,284.98198094646983,81214.72946417409,264.5,496.5,754.0,999.0,0,999,1534,"{906: 8, 613: 7, 446: 7, 845: 6, 960: 6, 301: 6, 509: 5, 756: 5, 405: 5, 553: 5}"
main value [Vibration (g)],38.855932203389834,11.0,135.1078937818836,18254.142962176746,4.0,11.0,20.0,995.0,1,995,1534,"{2: 150, 1: 150, 8: 66, 7: 64, 9: 58, 22: 54, 11: 51, 6: 50, 12: 50, 4: 48}"
secondary value [Vibration (g)],505.7594524119948,511.5,281.9979554199243,79522.84686101762,267.5,511.5,737.75,999.0,0,999,1534,"{564: 7, 729: 6, 405: 6, 98: 6, 940: 6, 697: 6, 161: 6, 385: 6, 344: 6, 936: 5}"
main value [Ambient Temp],12.235984354628423,8.0,12.042016398660685,145.01015894561286,5.0,8.0,14.0,68.0,1,68,1534,"{7: 169, 8: 163, 9: 159, 5: 157, 6: 153, 4: 96, 3: 86, 2: 61, 1: 38, 23: 19}"
secondary value [Ambient Temp ],495.79465449804434,504.5,287.35296227637264,82571.72492900645,249.25,504.5,738.5,999.0,0,999,1534,"{492: 8, 627: 7, 852: 6, 235: 6, 179: 6, 694: 6, 302: 6, 169: 6, 463: 6, 165: 6}"
main value [Humidity (%),11.98174706649283,7.0,13.041293464863847,170.07533523670045,5.0,7.0,11.0,99.0,1,99,1534,"{6: 183, 7: 171, 5: 170, 8: 167, 9: 153, 4: 90, 3: 89, 2: 66, 1: 43, 12: 19}"
secondary value [Humidity (%),500.21447196870923,503.0,284.43699604997295,80904.40472193234,259.25,503.0,748.0,999.0,0,999,1534,"{377: 7, 585: 6, 420: 6, 771: 6, 390: 5, 933: 5, 179: 5, 64: 5, 350: 5, 724: 5}"
